Invention,Description,Background,Category
Method and System for Eye Tracking using Structured Light,"This invention represents a significant advancement in the field of eye tracking technology by introducing a novel deflectometry approach to enhance accuracy that relies on leveraging dense 3D information obtained from the eye surface to estimate gaze direction. The key objective is to substantially decrease gaze estimation errors, aiming to improve from the current range of below 0.25° to 0.45°, down to an impressive level below 0.1°. This substantial reduction in errors holds the promise of pushing the boundaries of eye tracking precision and opens up new possibilities for applications requiring highly accurate gaze tracking.","Eye-tracking plays a crucial role in modern human-computer interaction (HCI) and machine perception (MP) methods as an enabling technology, particularly for Virtual Reality (VR). Recent implementations focus on application in VR headsets, as well as use cases in neuroscience research, and psychology. If implemented successfully, eye-tracking has the potential to be become the “go-to” input method for computers, mobile phones, or general user interfaces in the future and can potentially replace mouse and touchpads. Despite its big potential for future HCI and MP tasks, an accurate, robust, and fast eye-tracking solution remains a considerable challenge for current state-of-the-art methods and has evolved into a central unsolved problem in current VR headset research.",Imaging & Optics
Advanced Radiative Cooling System for CMOS Chips Using Integrated Metal-Optic Layers,"This invention leverages recent advancements in nanophotonics and electronics to develop an advanced radiative cooling system for Complementary Metal-Oxide-Semiconductor (CMOS) chips with minimal change to the CMOS chip design. This cooling system incorporates metal-optic layers directly into the chip’s architecture within bulk CMOS foundry processes, demonstrating that the back-end-of-the-line (BEOL) can serve as effective metal-optic devices. The process enhances cooling efficiency while maintaining the chip’s structural integrity and performance. Additionally, it enables creating local thermal emitters that can reduce the temperature of “hot spots” within the chip that are difficult to target for cooling. This innovative approach addresses the escalating cooling demands of modern CMOS chips, particularly in high-performance computing and dense server environments, representing a paradigm shift in thermal management strategies for semiconductor devices while potentially enabling a new generation of high-performance, thermally stable electronic components.","Thermal management of CMOS chips is of paramount importance and is one of the main challenges to increase the number of devices on chips and to employ more advanced technologies like silicon on insulator processes. In the context of semiconductor technology, CMOS chips have traditionally relied on standard cooling mechanisms, such as convection cooling and/or aluminum/copper heat sinks, due to their simplicity and cost-effectiveness. However, these methods are becoming increasingly insufficient as chip designs grow more complex and power densities increase. Radiative cooling, a newer prospect in this field, offers a passive method by enhancing the natural emission of infrared radiation to dissipate heat. However, a significant challenge with radiative cooling lies in the development and integration of materials that possess the right emissive properties without interfering with the electronic functions of the chip.",Engineering & Physical Sciences
"A Method for Label-Free, Non-Invasive Acquisition and Mapping of -Omics Data","This technology describes a novel process to generate -omics data, such as genomics, proteomics, and more, through optical imaging. The invention is intended to implement spatial imaging techniques to identify optical imaging markers that can be predictors of -omics. This technology has potential for usage in a variety of fields including in vivo or ex vivo diagnostics, subtyping, phenotyping, or pathology understanding.","This technology could have a groundbreaking impact on medical techniques and technologies by enabling a rapid, non-invasive, and non-destructive technique for spatial mapping of -omics data. Technology for -omics is revolutionizing research by shifting the focus toward the analysis of the position and interaction of cell types and biomarkers. These findings provide insights that can be utilized in different fields of medicine, such as drug development addressing genetic disorders and diagnostic tools that can be utilized in early cancer detection.​​​​​​​",Imaging & Optics
Photocurrent Bias for Event-Based Sensor (EBS),"The Photocurrent Bias for Event-Based Sensor (EBS) is a method designed to enhance the performance and effectiveness of event-based sensors, particularly in challenging environments. This innovative technology leverages the application of a spatially homogeneous light field onto the sensor's imaging path to significantly reduce low-level illumination noise. This approach ensures higher precision and accuracy, especially in low-light or high-optical noise environments, making it an ideal solution for a wide range of applications where light intensity needs to be measured under varying conditions.","Modern event-based sensors often grapple with the challenge of noise interference, particularly in environments with low light or high optical noise backgrounds. This noise can distort the sensor's readings and reduce its overall effectiveness. Current solutions often fail to address these challenges adequately, either falling short in noise reduction or introducing additional complexities into the system.",Imaging & Optics
Dust Control System Using Biocompatible Polymer,"This innovative dust control system utilizes commercially available, cost-effective biocompatible polymers to prolong wettability of beach tailings and contribute to improve Tailings Storage Facility (TSF) management system/stability.  Can also be used on Tailing slope, dyke, haul roads, and in coal mining facilities.","Conventional dust control methods include implementing a truck-mounted spray system with other toxic polymer additives.  The Tailings and TSF dust control additives pose airborne and groundwater health risks to residents living nearby, have high rates of water consumption, cause environmental contamination, and need to be reapplied frequently.","Energy, Cleantech & Environmental"
Layout based Grafting Resource Optimizer,"This invention is software that optimizes a factory floor (layout, flow, WIP, etc.) and the number of employees to maximize efficiency of specific factory operations. This system can find the optimum layout design and resource allocation for any agricultural growing facility, although it can be modified for use in facilities in other industries. Not only is this system capable of finding the optimal layout design for such facilities, but it can also find the optimal resource allocation considering the restrictions caused by this layout.","Resource allocation and layout design are critical decisions in designing/operating grafting nurseries but their concurrent optimization is challenging due to the dynamics of workers' performance, resource availability, and demands. In addition, the negative impact of an efficient layout on workers' performance substantially reduces the productivity in such facilities. Although layout design and resource allocation have both been studied in depth, this invention focuses on integrating the layout design and resource allocation problems and considers their correlation when finding the optimal design and allocation.",Software & Information Technology
Method for Line of Sight Bias for Missile Guidance,"This innovation uses a deep learning algorithm to learn a curvature parameterization to apply to the line-of-sight unit vector provided by a missile guidance navigation system. In one implementation the bias is computed using a deep neural network with a recurrent layer which allows the network to predict future target behavior from the history of target behavior during the engagement. The network is optimized using meta reinforcement learning (meta-RL) over an ensemble of engagement scenarios with varying target behavior. Other applications could include spacecraft guidance navigation and control. This method is compatible with both passive sensors and single loop integrated guidance and control. Potential hardware implementations of the innovation are software running on a CPU or tensor processing unit (TPU), and neuromorphic implementations.","Proportional navigation (PN) and related missile guidance laws are not optimal for the case of a maneuvering target guidance laws for maneuvering targets include the augmented PN (APN) guidance law, where the commanded acceleration from the PN guidance law is augmented with an additional term that is a function of the estimated target acceleration. However, although APN works well with targets maneuvering with a constant acceleration, its performance can actually be worse than standard PN for weaving targets and other more complex target maneuvers. A missile system company implementing the innovation would obtain a significant competitive advantage.",Software & Information Technology
Hybrid CV-DV Quantum Communications and Quantum Networks,"This technology is a robust and efficient quantum network that allows for a large number of entangled states to be delivered over the nodes in the network. The network makes use of simultaneous discrete variable (DV) and continuous variable (CV) entanglement unlike existing state of the art quantum networks, making it ideal for serving as the backbone of a quantum internet.","Quantum communication networks are important because they provide a higher level of security than traditional communications. To protect traditional communications, encryption is typically applied. But as computers get faster, they can break encryption protocols more easily, and encryption often has other security flaws and can slow down communications. Quantum communication, on the other hand, is inherently more secure and has the potential for higher speeds. 

Hybrid CV-DV quantum states can be entangled and measured when working with light-based communications. Traditionally, when creating light-based quantum networks, the light is either treated like a particle, leading to DV-based quantum technologies, or the light is treated like a wave, leading to CV-based quantum technologies. However, recent research has suggested a third approach, the hybrid CV-DV approach, which does both. This technology serves to build upon that research to create a practical and effective implementation of hybrid CV-DV quantum communications.",Engineering & Physical Sciences
Shape Memory Alloy Tether System,The shape memory alloy reacts to changes in temperature by changing its initial shape into a predetermined (learnt) shape. This effect can be controlled by the system to perform a progressive envelopment of an intended target in a microgravity environment.,"Tethers provide solutions to a variety of problems in space. For example, the Space Surveillance Network tracks over 27,000 pieces of orbital debris, but there are many more pieces too small to be tracked which still pose a threat to human and robotic spaceflight. Tethers offer an inexpensive and efficient solution while maintaining low chances of mishandling. 

Additionally, there are 105 countries to date that have at least one satellite in space, and the number of man-made devices will only increase in the coming decades. These devices must currently hold propellant and a mechanism for dispersing it, but this can be replaced by tethers which will precisely reposition the devices in a variety of desirable methods. This concept has even been explored for repositioning the International Space Station.",Engineering & Physical Sciences
Demonstration of a Two-Bit Controlled-NOT Quantum-Like Gate using Classical Acoustic Qubit-Analogues,This technology is an implementation of a logic gate using acoustic waves. It is a two-bit controlled NOT gate that allows acoustic waves to be used to perform logic operations like those that can be performed in traditional quantum computers.,"Controlled NOT (CNOT) gates are quantum logic gates that are fundamental components of quantum computers. For example, it can be used to create entangled states and similarly disentangled states. Traditional quantum computing often requires expensive equipment that suffer from scalability challenges. However, other, newer types of quantum computing, such as the use of photons (particles of light) or phonons (pseudo-particles of sound) show promise for building reliable, scalable quantum computers.

This technology builds an important component for a quantum-like computer based on acoustic analogues to traditional quantum computing problems. Furthermore, it helps solve the problem of scalability and the tendency for quantum information to rapidly deteriorate in actual quantum computing devices.",Engineering & Physical Sciences
Wearable Wireless Power Supply and Data Communication Device for Small Battery Free Implant,"This is a Near-Field Communication (NFC) enabled technology that can be embedded in wearable materials to charge battery-free implants. It allows for the implants to be charged by power casters from a distance, meaning they remain fully operational 24 hours a day, 7 days a week, for months on end. It will also reduce the space a battery on an implantable device needs.","Current battery technology takes up a lot of space, the battery can take up to 90% of the volume of an implantable device and up to 60% of its weight. It is also important to make sure the recharging process does not interfere with the patients behaviors. There is a balance that needs to be found between the power consumption of small implantable devices and their ability to transmit data over a longer range.

This solution solves the problem by completely removing the battery from the implant and placing the power source external to the implanted device and utilizing NFC technology for charging. The patient will not have to worry about removing the power-draining device, or plugging into a power source to charge their implant. They will be able to charge while on the move and within a distance range from the power source. The key technological novelty is the combination of wireless battery free implants that have minimal impact on the patient with virtually imperceptible wearable devices to provide seamless therapeutic and diagnostic capabilities.",Engineering & Physical Sciences
Restricted Area Printing by Ink Drawing (RAPID) for Solution-Processed Thin Films,"This technology, Restricted Area Printing by Ink Drawing (RAPID) is a novel printing process to develop solution-processed electronics. The method utilizes confined plates to apply external stimuli (namely increased temperature) to the printing ink. In doing so, control over the nucleation process and growth of crystallites in the printed films is increased. This command over solution-processed electronics development could allow for greater efficiencies and lifetimes in such components.","There are currently several printing processes for solution-processed electronics, including slot-die printing, doctor blading, and gravure printing. These methods, however, do not allow for the adjustment of several parameters. For example, RAPID is able to control the number of nuclei formed through print speeds which affect residence times, or the time nuclei have to form before solvent is evaporated. This increased tunability of electronic manufacturing will allow for more delicate research to determine how much control may be retained through confined-volume printing.",Materials
Flyback Echo-Planar Imaging (EPI) Pulse Sequence with Embedded Chemical-Shift and Field Inhomogeneity Compensation Schemes and Artifact-Free Image Reconstruction Procedures,"This technology produces echo-planar imaging (EPI) MRI data free from typical EPI artifact (e.g., Nyquist artifact; chemical-shift artifact; geometric distortion) via two interrelated components. The first is a new algorithm that is used to acquire flyback echo-planar imaging (EPI) data, in which chemical-shift artifact and magnetic field inhomogeneity are inherently encoded in the invented scheme. The second part is an innovative flyback EPI reconstruction procedure, which is capable of generating artifact-free EPI data obtained with the invented acquisition scheme.","It is typical in Magnetic Resonance Imaging for “artifacts” to appear as bright spots where there shouldn’t be or distortions in the image, produced by this non-invasive diagnostic method. This technology improves the imaging quality of MRI machines. It uses Echo Planar Imaging with pulse sequencing to characterize the lipid and non-lipid portions of the imaging and using this knowledge to create better (artifact-free) images.",Imaging & Optics
"Biosymbiotic Device for Wearable, Long-Range Transmission of High-Fidelity Biosignals","This technology improves on the ability to transmit long-range data from a biosymbiotic device. This includes an on-body antenna structure with complementary wearable electronics that can receive power and transmit high-fidelity biosignal information. The system can send biosignal information over 10+ miles without reliance on external infrastructure support and can be passively recharged without interaction from the user. Such a device has significant impact in increasing geographic availability of wearable sensing technologies by enabling continuous monitoring in remote locations. Additionally, such a device would be the first of its kind to integrate sensing and communication in a comprehensive platform, as commercially available systems are limited due to device formfactor.","The number of wearable devices is increasing at a high rate as sensing components are being increasingly used in wearable devices to improve overall functional efficiency, convenience, and precautions. In addition, the use of various biosensors for monitoring fermentation systems, biocatalysts, and detecting biological materials like enzymes, whole cells, and tissues is creating rapid demand for wearable biosensors in the wearable biosensors market. Also, the ability for wearable devices to collect high-fidelity biosignals continuously over weeks and months at a time has become an increasingly sought-after characteristic to provide advanced diagnostic and therapeutic capabilities. Wearable devices for this purpose face a multitude of challenges such as formfactors with long-term user acceptance and power supplies that enable continuous operation without requiring extensive user interaction. The ability to transmit data over long-ranges not only adds safety for the wearers, but also provides new methods for communication when necessary. The combination of long-range transmission, biosensors, wireless, and wearable will allow the user to learn more about themselves, communicate over greater distances, and the GPS capability can be used to monitor others, or keep you safe while on an outdoor adventure.",Engineering & Physical Sciences
"Eco-Friendly, Sustainable, Lightweight, Porous Cellulose Sponge for Crop Growth","This technology uses ‘cellulose sponges’ that can be used to grow pick-and-eat crops without soil. The inventors have tested diverse cellulose derivatives and have determined the best performers. Hydroxyethyl methylcellulose was shown in testing to have a higher water-retention property, higher durability, low density and malleability, and equal performance when compared to current rockwool systems. The crosslinked nature of the technology overcomes the common drawback of current sponges’ material releasing lots of dust and loose fiber that can be dangerous to humans in closed environments. The technology does not threaten respiratory systems while maintaining lower density and high water-retention properties. The other challenge is needed soil to grow crops with the sponges. To overcome this challenge and simplify the cellulose-based plant growth system, the technology controlled the component-structure-property-processing of cellulose materials for plant growth without soil. Furthermore, by testing diverse cellulose derivatives, the inventors identified the best performers to grow pick-and-eat crops, such as lettuce.","Cellulose is the most abundant natural biopolymer with a global reserve of up to 75 billion tons from a variety of sustainable sources such as wood, plants, and algae. Due to the good safety profile of these biopolymers to humans and the environment, cellulose and its derivatives are widely used as a binder, thickener, emulsifier, and dispersing agent in various applications such as food, cosmetic and personal care, pharmaceutics, construction, and agriculture. Food-grade cellulose derivatives were crosslinked with food-grade citric acid to construct hydrogels with high water-retention properties. This cellulose hydrogel was buried under the soil and successfully grew a plant with the benefit of providing water and nutrients longer than just soil itself. Although direct plant growth on cellulose materials without soil would be more convenient, the small pores in the cellulose hydrogel prevent the roots from penetrating through and thus, a plant supporting system, such as soil, is required.",Agriculture & Horticulture
Sequential Control of Electromagnets for CubeSat Docking Attitude Alignment,The technology is a new method of sequential control of electromagnets in the application of autonomous docking using two CubeSat (miniature satellites). This is done with the help of active illumination signals through LED lights that are installed on two different CubeSats which helps for target identification in both CubeSats.,"Autonomous docking is an important part of spacecraft innovation. It makes possible for spacecrafts to link together, which can allow for in-space assembly and on-orbit servicing. Current docking spacecraft docking methods are more prone to cause collisions and subsequent failures during the rendezvous and proximity operations.

The invention proposes using electromagnetic levitations as it has been proved to be one of the safest approaches for autonomous docking. The main goal of the technology is to have two spacecrafts to dock with each other using the electromagnetic levitation method by using the onboard systems which will also enable a minimal use of active thrusters and fuel.",Engineering & Physical Sciences
Stroke Outcome Prediction Using Vascular Imaging Features and Machine Learning,"This technology is a stroke outcome prediction method to determine patient outcomes and inform treatment decisions. The method utilizes machine learning models trained with patient-specific vascular imaging features, patient demographics, stroke severity scores and clinical history as predictors to forecast a 90-day functional outcome following an ischemic stroke.","Strokes are the fifth leading cause of death in the United States and are also a leading cause of disability. Strokes occur when the arteries leading to and within the brain are blocked by a clot or bursts causing oxygen deprivation to the brain. Stroke prediction is difficult because they result from many different pathophysiologies. 

When caught early, strokes are preventable, and researchers have begun to tap into the machine learning world as well as artificial intelligence to look for these biomarkers and risk factors. By integrating machine learning models, physicians can evaluate the possibility of a future stroke with more patient-relevant information, such as patient history, that is important to determining the patient’s risk of stroke. From these models, there is an ability to incorporate them into apps or software for even easier processes.",Life Sciences
Experimental Method for Manipulation of the State of Multi-Phi-Bit Systems,"This invention is a method to experimentally navigate the Hilbert space of two logical phi-bits. A “phi-bit,” is a two-state degree of freedom of an acoustic wave (an acoustic spin), which can be in a coherent superposition of states with complex amplitude coefficients. Phi-bits are therefore analogues of qubits. The inventors have developed a simple model of the nonlinear array of externally driven coupled acoustic waveguides to shed light on possible mechanisms for the experimentally observed behavior of the logical phi-bit phase. Lastly, the inventors illustrate the ability to experimentally initialize the state of single and multiple phi-bit systems by exploiting the drivers’ phase as a tuning parameter. It is also shown that nonlinear correlation between phi-bits enables parallelism in the manipulation of two and multi phi-bit superpositions of states.","Quantum computing is a growing field due to the potential for quantum computers to solve complex computations substantially faster than a regular computer. The field is also increasingly relevant as it shifts towards real world use due to applications in the pharmaceutical industry and around data security, among other uses. A major hurdle in the use of quantum computing is the expensive requirements of use. Along with physical obstacles such as the high temperature quantum computers run at, they are often not scalable due to physical limitations which do not allow for an increase of qubits.

However, with the recent advancements in phi-bits, a new pathway towards scalable quantum computing has been illuminated. The phi-bits, as analogues of qubits, possess the potential to overcome the current limitations faced by conventional quantum computing, thereby promising a more accessible and efficient way of performing complex computations. This experimental method for manipulating the state of multi-phi-bit systems may become a key innovation that propels the field of quantum computing forward.",Engineering & Physical Sciences
A Method for the Practical Implementation of Scalable Quantum-Like Gates using Logical Phi-Bits,This technology is a breakthrough in the development of acoustic-based (phi-bit based) quantum-analogue computing platform by enabling the design of scalable unitary operations (gates) that do not need to be decomposed into circuits of elementary gates. This should lead to quantum-like information processing approaches that are more effective than those implemented on current quantum computing platforms.,"Quantum-like gates are quantum logic gates that are fundamental components of quantum computers. For example, they can be used to create entangled states and similarly disentangled states. Traditional quantum computing often requires expensive equipment that suffer from scalability challenges. However, other, newer types of quantum computing, such as the use of photons (particles of light) or phonons (pseudo-particles of sound) show promise in building reliable, scalable quantum computers.

The pursuit of alternative quantum computing methods has been driven by the innate challenges posed by conventional quantum systems. The inherent fragility of these systems and the vast resources required for their maintenance have prompted the exploration of alternatives like phonons and photons, which, while quantum in nature, provide more stability and ease of control.",Engineering & Physical Sciences
Hostage Negotiator Throw Phone,"The UAPD Throw Phone is a two-way audio/video communication device, tailored specifically for use by hostage negotiators. In critical incidents, it plays a pivotal role, allowing negotiators to engage with and de-escalate barricaded subjects. The primary goal is to foster peaceful resolution and ensure the safety of all parties involved. It will need to address the ruggedness and poor network challenges relevant to this application.","In the past, throw phones have generally been heavy, bulky, hard wired phone systems which required several SWAT members to put themselves at great risk to deliver the cumbersome phone system into critical incidents to enable open communication and de-escalate barricaded subjects in order to resolve the standoff peacefully and save lives. This invention would reduce the size and weight of previous systems to enable greater ease in transporting a wireless communication device to said subjects. 

Building on the traditional concept of throw phones, the UAPD Throw Phone innovates by incorporating both audio and video capabilities. This dual functionality enhances the ability of law enforcement to gauge situations and make informed decisions. The objective remains clear: creating an avenue for dialogue that can defuse tense standoffs and prioritize the preservation of life.",Engineering & Physical Sciences
"Computer Vision Method for Safety Hazards Detection, Referencing, and Tracking","This invention is a method for automatic identification and real-time mapping of safety hazards and individuals within underground spaces, such as mines. Using a combination of visual, Near-Infrared (NIR), and LiDAR imaging technologies with a robust, low-cost, machine learning-based algorithm, this innovation captures data and geo-references and categorizes it before transmitting it to a centralized hub for mapping. One of the notable features of this invention is its reliance on collaborative and federated learning, which enables fine-tuning of the machine learning model's parameters and collectively improves the model's ability to learn from the data provided by all users. This technology is adaptable and can be deployed via a user-friendly Human-Machine Interface (HMI) supporting real-time retrieval for localization and rescue missions. While initially designed for mobile-device apps, it can be integrated into various infrastructure setups, including surveillance cameras and mobile robotic platforms. Ultimately, this innovation revolutionizes mining safety by combining distributed information gathering, machine learning, remote analysis, and workflow optimization to effectively assess and mitigate risks effectively. Mining operators can utilize their smart devices to gather data, which is then used to provide live risk assessments.","Currently, mining safety operations rely on manual hazard identification and mapping processes, which are time-consuming, error-prone, and often subject to human limitations. These processes can lead to delays in responding to emerging hazards, potentially endangering workers’ lives. Moreover, existing technologies such as surveillance cameras and manual data collection lack the real-time capabilities and adaptive learning capabilities that this innovation offers.",Engineering & Physical Sciences
Self-Holding Travel Blankets,"The proposed invention is a self-holding travel blanket designed to enhance the comfort of long-haul economy class airplane passengers. Its key innovation lies in the incorporation of two adjustable strips on the back of the blanket that pass over the passenger's shoulders. These strips, available in three different forms (section, V-form, and U-form), ensure that the blanket stays securely in place, preventing it from slipping down during sleep. This design minimizes the inconvenience passengers often face when their blankets constantly fall off during long flights, leading to a more comfortable travel experience. Furthermore, the manufacturing process is straightforward and cost-effective, making it commercially competitive in the aviation industry.","Airplane passengers often have the discomfort and annoyance of blankets frequently slipping off during in-flight sleep. Traditional in-flight blankets are often small and/or flimsy and tend to need constant adjustment, which disrupts passengers’ sleep and overall travel experience. The newly designed travel blanket addresses issues of discomfort in a cost-effective and user-friendly manner, enhancing the overall travel experience for passengers.",Materials
Software Architecture Reconstruction from Bytecode,"The Software Architecture Reconstruction (SAR) technology employing bytecode represents a significant advancement in the understanding, maintenance, and evolution of software systems. This innovative approach leverages existing tools used in the creation of self-contained executables for microservices, repurposing and enhancing their capabilities for SAR. The technology generates system-centered views through a methodology implemented in a proof-of-concept tool, utilizing MicroGraal on the Java Platform. The process involves a case study with a third-party microservice system benchmark, producing outputs such as a system service dependency graph (SDG) and a context map. This technology offers a unique perspective on software architecture, comparing its effectiveness and results with traditional source code analysis methods.","The Software Architecture Reconstruction (SAR) technology using bytecode addresses the challenge of comprehending, maintaining, and evolving complex software systems, particularly in the context of microservices. Microservices are the mainstream architecture when designing cloud-native systems. The performance and elastic scalability of such systems are the main attraction for many vendors. Recent advancements improving microservice initialization times are related to the ahead-of-time compilation, which produces self-contained executables, significantly reducing load times. Despite recent advancements and various benefits of cloud-native systems, the evolution of such systems might be threatened by a missing system-centered view. Current solutions often rely on source code analysis tools, which can be time-consuming and challenging to implement comprehensively. The SAR technology offers a more efficient and holistic approach by repurposing existing tools for generating self-contained executables. Its effectiveness becomes particularly evident in its application to third-party microservice system benchmarks, showcasing its superiority in producing valuable insights compared to conventional approaches.",Software & Information Technology
Assessing Microservice System Evolution through Quantitative Reasoning,"The invention addresses the challenges associated with microservices architecture by introducing a novel approach that combines self-contained microservices with centralized assessment methods. While the advantage of microservices lies in their streamlined management and deployment, the decentralized nature of these services often leads to scattered knowledge across the system, making it difficult to comprehend the holistic picture. The technology introduces quantification metrics as indicators for investigating system architecture evolution and reasoning about changes across various versions.","The technology seeks to address the challenges associated with managing and comprehending evolving microservices architectures. The problem lies in the decentralized nature of microservices, which scatters knowledge across the system and makes it challenging to understand the holistic picture, especially as these systems undergo continuous changes. Current solutions often lack centralized assessment methods, leading to increased complexity in system maintenance. This technology stands out by introducing quantification metrics as indicators, offering a systematic approach to investigating system architecture evolution and understanding changes across different versions. Unlike existing approaches, it focuses on holistic viewpoints derived through static analysis of the source code, providing a more structured and comprehensive means of addressing the dynamic nature of microservices. By enhancing the understanding of inter-service interaction and data modeling perspectives, this technology aims to streamline system management and maintenance in the face of ongoing evolution.",Software & Information Technology
High-Sensitivity Non-Destructive Evaluation/Testing Method for the Detection of Defects in Structures using the Geometric Phase of Acoustic Waves,"This novel, highly sensitive non-destructive testing method analyzes the spacial behavior of acoustic waves to detect cracks and defects in objects and structures, with applications across many industries. This method’s sensitivity allows it to detect even slight flaws and defects, and to identify cracks through topographical complexities like welds and bends. Complexities like these can cause extraneous propagation in waves used for non-destructive testing, creating interference that can hide cracks from many current non-destructive testing methods. This method is less affected by that interference and can detect cracks that could otherwise go unnoticed.","As infrastructure and technology advance, the complexity of products and structures become more and more complex. To ensure their reliability and structural integrity, more advanced non-destructive testing methods are needed. Non-destructive testing is the evaluation of objects for flaws and cracks without causing damage in the testing process. Many current non-destructive testing methods are ineffective around welds, bends, and other structural complexities, and often miss small defects and perturbations. This method’s high sensitivity allows for more precision in crack detection even in complex objects, ensuring a higher level of safety of technologies across a variety of industries.",Engineering & Physical Sciences
A Robotic Space Station System for a Modular Surveying Telescope,"This invention outlines a new robotic observation space station concept. It is assembled in space by docking standardized CubeSats with telescope payloads, forming a rotating truss-like structure that is suitable for full sky surveys. Station reconfiguration is incorporated into operations to respond to multi-mission requirements and follow-up observations.","Previous and current platforms demonstrate the advantages of a continuous rotating spacecraft for full sky surveillance as opposed to stationary observation systems. Dedicated spacecrafts have been utilized to complete surveys of the galaxy, from stars to near-earth asteroids and satellites. However, these systems are causing a significant barrier to the necessary increase in spacecraft fleets and capabilities. With the modularity of the robotic space station concept, it will allow for multi-mission applications without the need for multiple, independent, and costly spacecrafts.",Engineering & Physical Sciences
Small Satellite Docking Adapter for Power Transfer and Structural Applications,"The invention is a small satellite docking adapter that can be used to assemble larger spacecraft, large structures, and transfer resources such as power. The docking adapter can be used to mate two objects in space that would otherwise be at different angles or are spatially misaligned. The invention also includes a software for CubeSats called Adapter Design And Positioning Tool for Spacecraft (ADAPTS) which is used to design and optimize the locations of docking adapters on spacecraft.","Docking systems are critical for various operations such as on-orbit servicing, refueling, assembly, upgrading satellite systems, and safe disposal at the end of a satellite's life. Satellite docking systems are used in multiple end-user verticals, including space agencies, communication satellite operators, defense sectors, and research institutions. However, challenges include the steep costs associated with developing these sophisticated systems, the technical hurdles of space docking procedures, the stringent regulatory space environment, and the looming threat of space debris. 

Current solutions for the aforementioned challenges are solved by opting for small satellite launches which solves the high expense problem and the inventions of small satellite adapters with the ability to transfer data and power. This led to the development of the invention to license.",Engineering & Physical Sciences
"Small Spacecraft & Small Robot Lighting System for Navigation, Identification and Communications","Spacecraft Optimized Lighting-communications Architecture for Robust Integrated Systems (SOLARIS) is a framework that utilizes advanced lighting and software to enhance communications, tracking, navigation, and security in small spacecraft and robotic systems such as rovers, CubeSats, and more. The framework outlines an entire system to integrate lighting into a spacecraft/space robot. Lighting display formats can be customized and can be connected by wire or wirelessly to host spacecraft or robots. SOLARIS also includes design software that balances design execution on spacecraft, rovers, space infrastructure based on task needs.","As space traffic increases exponentially, effective space traffic management becomes imperative to prevent collisions and ensure uninhibited movement. Moreover, the preservation of satellite assets in orbit, pivotal for sustaining essential services on Earth, enhances the urgency of optimizing spacecraft operations.",Engineering & Physical Sciences
Reconfigurable Space Telescope for Long Duration Observations,"This invention is a reconfigurable space telescope with the capabilities of a Schmidt Cassegrain telescope. The invention has deployable structures and mechanisms for optical reconfiguration and is able to switch the focal length of its primary optics, allowing for both wide field surveying and targeted observations for near earth observations and space situational awareness. Application can also be extended to Earth observations for scientific or commercial purposes. The telescope can be packaged within standard CubeSat units, allowing for significant reduction in cost and complexity. Ultimately this modular telescope system will help to bring more aperture and modularity to the CubeSat class, enabling more affordable space telescopes, diversifying observations, and opening access to a wider scientific community.","Space missions with the focus on observations and surveillance of near-earth objects have been increasing. However, current designs of space observation systems are costly to produce and launch as well as being reliant on non-standardized space bus designs. This new telescope design solves these challenges with deployable and reconfigurable optical system, representing a breakthrough in the capabilities and significant step towards more inexpensive, effective space-based observatories.",Engineering & Physical Sciences
Generalized BEP Relationships for the Prediction of Activation Energies via Machine Learning,"At the heart of computational catalyst design lies the construction of a suitable reaction network and the determination of reaction and activation energies for each step for a specific set of, for instance, metals. This technology aims to enable the creation of a sophisticated activation energy predictor / modeler that will enable the investigation and development of chemical reactions through an optimized catalyst.","Current methods require sophisticated teams working iteratively with best guesses to develop an optimized reaction. This technology aims to significantly improve the workflow for these teams by many magnitudes. Improving the number of options being analyzed and solving more problems and applications. While previously the identification of more efficient catalysts relied on the intuition of researchers in selecting and evaluating a small number of new compounds for a given reaction. However, today large search spaces can be screened using descriptor-based approaches obtained from computational work alone.

With the integration of machine learning, the reliance on human intuition diminishes, paving the way for more systematic and data-driven evaluations. This shift not only accelerates the research process but also eliminates potential human biases, ensuring that the most viable catalyst options are consistently brought to the forefront.",Engineering & Physical Sciences
Method for On-Chip Squeezed and Entangled Light Generation,"Quantum entanglement is as follows: entangled photons for transferring information between two nodes, in which the receiver holds half of the entangled photons while the sender holds the other half. Thus, communication and sensing are made possible by manipulation of these photons and/or observation of the changes of these photons.","Quantum sensors emit photons that carry quantum information about surrounding magnetic and electric fields, which can be used for biosensing, neuroimaging, object detection, and other sensing applications. Traditional quantum sensors are large and use expensive components that limit practicality and scalability. This method proposed is another way to scale all the bulky components onto a chip which is millimeters in size. This is done using traditional semiconductor fabrication techniques. The ability to put a quantum sensor on a chip is a dramatic decrease in the size of the sensor and will allow for better integration into real world applications. This will also greatly decrease the cost it takes to produce quantum sensors because it builds off of traditional fabrication techniques.",Engineering & Physical Sciences
